position,name,description
1,SHOTON SHOTON,LARGA LARGA
2,TANTON TANTON,CORTA CORTA
3,SHOTON TANTON,LARGA CORTA
4,TANTON SHOTON,CORTA LARGA
5,HANJOU DONTO,VARIABLE
