position,name,description
1,SEN NOZEN,ENTRANDO
2,GO NOZEN,SALIENDO
3,TAINOZEN,ESQUIVANDO
4,SURI ASHI,DESPLAZAMIENTO ADELANTE CON UNA PIERNA
5,SUGI ASHI, DESPLAZAMIENTO ADELANTE CON AMBAS PIERNAS
6,CHIDORI ASHI, DESPLAZAMIENTO CON PIERNAS CRUZADAS
7,OI ASHI, DESPLAZAMIENTO ADELANTE CON MISMA MANO Y PIERNA
