position,name,description
1,DACHI WASA,TECNICA DE POSICIONES
2,UKE WASA,TECNICA DE BLOQUEOS
3,ZUKI WASA,TECNICA DE GOLPES DIRECTOS
4,UCHI WASA,TECNICA DE GOLPES INDIRECTOS
5,GERI WASA,TECNICA DE PATADAS
6,TACHI WASA,TECNICA DE POSICIONES AVANZANDO
7,NAGE WASA,TECNICA DE PROYECCION
8,KATA WASA,TECNICA DE KATA
9,KUMITE WASA,TECNICA DE COMBATE
10,IBUKI WASA,TECNICA DE RESPIRACION
