position,name,description
1,TORTUGA,RESILENCIA INQUEBRANTABLE Y TEMPLANZA ESTRATÉGICA
2,DRAGÓN,MAESTRIA ELEMENTAL Y CUSTODIA DEL PODER
3,AGUILA,PERCEPCION EXTRAORDINARIA Y PRECISIÓN TACTICA
4,LEOPARDO,ADAPTABILIDAD ABSOLUTA Y VIGOR SOLITARIO
5,OSO PANDA,EQUILIBRIO INALTERABLE ENTRE LA FUERZA LATENTE Y LA CALMA ESPIRITUAL
