position,name,description
1,IPON KUMITE,COMBATE A UN MOVIMIENTO
2,NIHON KUMITE,COMBATE A DOS MOVIMIENTOS
3,SAMBON KUMITE,COMBATE A TRES MOVIMIENTOS
4,GOHON KUMITE,COMBATE A CINCO MOVIMIENTOS
5,YIYU KUMITE,COMBATE LIBRE
6,SHIAI KUMITE,COMBATE DE COMPETENCIA
